datetime,user_id,event_name,page,product_id,order_id
2024-01-21 19:12:00,1,view,main_page,,
2024-01-21 19:12:46,1,add,recommendations,390.0,
2024-01-21 19:12:51,1,view,cart,,
2024-01-21 19:12:54,1,purchase,cart,390.0,100000.0
2024-01-05 22:55:00,2,view,search,,
2024-01-09 02:00:00,3,view,search,,
2024-01-05 05:02:00,3,view,main_page,,
2024-01-19 16:20:00,3,view,main_page,,
2024-01-19 16:20:51,3,click,pdp,260.0,
2024-01-02 07:38:00,3,view,search,,
2024-01-18 11:00:00,3,click,pdp,251.0,
2024-01-18 11:00:16,3,add,pdp,251.0,
2024-01-18 11:00:31,3,view,cart,,
2024-01-18 11:00:46,3,purchase,cart,251.0,100001.0
2024-01-18 01:17:00,4,view,catalog,,
2024-01-18 01:17:34,4,click,pdp,166.0,
2024-01-18 01:17:49,4,add,pdp,166.0,
2024-01-20 23:04:00,4,view,search,,
2024-01-20 23:04:13,4,click,pdp,43.0,
2024-01-20 23:04:32,4,add,pdp,43.0,
2024-01-20 23:04:48,4,view,cart,,
2024-01-20 23:05:05,4,purchase,cart,43.0,100002.0
2024-01-04 23:24:00,4,click,pdp,160.0,
2024-01-04 23:24:26,4,add,pdp,160.0,
2024-01-04 23:24:31,4,view,cart,,
2024-01-04 23:24:54,4,purchase,cart,160.0,100003.0
2024-01-26 13:33:00,5,view,main_page,,
2024-01-26 13:33:27,5,click,pdp,249.0,
2024-01-26 13:33:49,5,add,pdp,249.0,
2024-01-29 19:14:00,5,view,search,,
2024-01-29 19:14:14,5,click,pdp,471.0,
2024-01-14 23:50:00,5,view,catalog,,
2024-01-28 12:17:00,5,view,catalog,,
2024-01-28 12:17:15,5,click,pdp,119.0,
2024-01-28 12:17:25,5,add,pdp,119.0,
2024-01-28 12:17:42,5,view,cart,,
2024-01-28 12:18:09,5,purchase,cart,119.0,100004.0
2024-01-25 03:09:00,6,view,search,,
2024-01-25 03:09:47,6,click,pdp,470.0,
2024-01-25 03:09:55,6,add,pdp,470.0,
2024-01-25 03:10:07,6,view,cart,,
2024-01-25 03:10:45,6,purchase,cart,470.0,100005.0
2024-01-27 12:05:00,7,click,pdp,277.0,
2024-01-27 12:05:23,7,add,pdp,277.0,
